Reporting range=["Monthly"],Select year=["2026"],Select month=["June"],Products displayed=["All combinations"],Brand=["TP-Link"]
"Product title",ASIN,Brand,Category,Subcategory,"Number of orders","No. 1 Purchase Combination: Product Title","No. 1 Purchase Combination: ASIN","No. 1 Purchase Combination: Combination %","No. 2 Purchase Combination: Product Title","No. 2 Purchase Combination: ASIN","No. 2 Purchase Combination: Combination %","No. 3 Purchase Combination: Product Title","No. 3 Purchase Combination: ASIN","No. 3 Purchase Combination: Combination %","Reporting Date"
"TP-Link Tl-Wn725N, 150Mbps Kablosuz N Nano Usb Adaptör","B008IFXQFU","TP-Link","900 Computing Accessories","1090 Computing Components & Networking: Other","11","KIOXIA 128GB Exceria G3 Micro SDXC U1 V30 A2 4K 160/50MB/sn Hafıza Kartı (SD Adaptörlü)","B0FZSL68PP","18.18","Tuhaf Resimler - 3 MİLYONDAN FAZLA OKUR, 30’DAN FAZLA DİL","6051984151","9.09","Günübirlik Hayatlar","6053435937","9.09","2026-06-30"
"TP-Link RE200 Dual Band 750 Mbps Wifi Güçlendirici","B00KXULGJQ","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","2","Şu Yaramaz Tavşanlar","6052952644","50.0","Değnek Adam","6052959126","50.0","Küçük Kar Tanesi","6052959959","50.0","2026-06-30"
"TP-Link CPE605, 5GHz 150Mbps 23dBi Outdoor CPE","B07VC31Q6S","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","5","Philips Hue Bridge Pro - Bağlantı Köprüsü v3","B0FKH9CD5C","40.0","TP-Link TL-SG108PE, 8 Port Gigabit / 4 Port POE Smart Switch","B01BPFKNNM","20.0","Philips Hue Play, Akıllı LED Aydınlatma, Siyah, Güç Adaptörü Dahil","B07FXRS4ZW","20.0","2026-06-30"
"TP-Link TL-SG105PE, 5-Port Gigabit Easy Smart Switch with 4-Port PoE+","B08GDC61NS","TP-Link","1000 Computing Components & Networking","1085 Switches","4","Bosch PSM 200 AES Çok Amaçlı Zımpara Psm 200 Aes, Yeşil","B00IPIYLKO","25.0","TP-Link LS1005G Ethernet Çevirici 5 Port 10/100/1000 Mbps","B07VC68RW1","25.0","Savon De Royal Savon Pur Luxury Vegan Sıvı Sabun Beyaz (500 ml)","B087S5C2TW","25.0","2026-06-30"
"TP-Link AV1000 Gigabit Powerline ac Wi-Fi Kit, TL-WPA7517 KIT, Gigabit Ethernet, 750 Mbps","B08R6H6931","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","9","Royal Canin Sterilised 37 Kısırlaştırılmış Kedi Maması 15 Kg","B005NZKX04","11.11","VARTA Longlife AAA Alkalin kalem pil 10'lu paket","B00KSW6UFO","11.11","VİKO Multi-Let 4lü Topraklı Kablolu Ç.K 2mt Priz","B083M94M8N","11.11","2026-06-30"
"TP-Link Archer VR300, AC1200 Mbps Kablosuz Dual-Band Fiber Destekli VDSL/ADSL Modem Router, 4 Ethernet Portu ve 4 Harici Anten, Tether Uygulaması ile Kolay Kurulum","B077PZLGVB","TP-Link","200 Computing Mobile Hardware","210 Consumer notebooks Intel","15","TP-Link TD-W9960, 300Mbps Wireless N VDSL/ADSL Modem Router","B07CF4CDNM","20.0","Logitech M171 Kablosuz Mouse, PC, Mac, Dizüstü Bilgisayar için, 2,4 GHz, USB Mini Alıcılı, Optik İzleme, 12 Aylık Pil Ömrü, Sağ ve Sol Elle Kullanıma Uygun, Mavi","B01A9HC69G","13.33","Logitech M220 Sessiz Kablosuz Mouse, Sağ ve Sol Elle Kullanıma Uygun, 1.000 DPI, 10 m Kullanım Mesafesi, 18 Ay Pil Ömrü, Siyah","B01K7GEG9W","13.33","2026-06-30"
"TP-Link UE300C, USB Type-C to RJ45 Gigabit Ethernet Network Adapter","B08FYB5HHK","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","28","Ugreen CAT7 U/FTP Flat Ethernet Kablosu 5 Metre","B00QV1F19C","7.14","Gündelik Hayatımızın Tarihi (Ciltli)","6053607622","3.57","Gelibolu’da Bir Yıl: Fotoğraflar, Kartpostallar ve Propaganda Kartlarında Çanakkale Muharebeleri","6254299925","3.57","2026-06-30"
"TP-Link TL-WR840N, 300Mbps Kablosuz N Router","B00HNFP4HO","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","1","Samsung EO-IC100B Type C Kablolu Kulaklık - Beyaz","B084BQLD2P","100.0",,,"0.0",,,"0.0","2026-06-30"
"TP-Link TL-SG105E, 5-Portlu Gigabit Easy Smart Switch","B00N0OHEMA","TP-Link","1000 Computing Components & Networking","1085 Switches","10","Günübirlik Hayatlar","6053435937","10.0","Yaşamak","6056587886","10.0","Bırak Yapsınlar Teorisi","6255587754","10.0","2026-06-30"
"TP-Link Archer T2U Nano, AC600 Nano Wireless USB Adaptör","B07KRCW6LZ","TP-Link","900 Computing Accessories","1090 Computing Components & Networking: Other","9","Beyaz Diş: Modern Klasikler Dizisi - 10","605360013X","11.11","En Çok Okunan 10 Jules Verne Eseri Seti","6057921941","11.11","Sultanın Casusları: 16. Yüzyılda İstihbarat, Sabotaj Ve Rüşvet Ağları","9752430007","11.11","2026-06-30"
"TP-Link TL-WA3001; AX3000 Mbps, Gigabit Portlu, Pasif PoE'yi destekler, Erişim Noktasını, Menzil Genişleticiyi, Çoklu SSID'yi destekler, Artırılmış Kapsama Alanı, Dual-Band Wi-Fi 6 Access Point","B0BGJJWPWC","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","1","TP-Link TL-SG108E, 8-Port Gigabit Easy Smart Switch","B00JKB63D8","100.0",,,"0.0",,,"0.0","2026-06-30"
"TP-Link Archer TX20E, AX1800 Wi-Fi 6 Bluetooth 5.2 PCIe Ağ Kartı","B0BWRXZZC8","TP-Link","900 Computing Accessories","1090 Computing Components & Networking: Other","5","Zengin Baba Yoksul Baba: Zenginler Çocuklarına, Orta Sınıf ve Alt Sınıfın Parayla İlgili Öğretmediği Neyi Öğretiyor?","6051717374","20.0","Dopamin Toplumu: Haz Çağında Dengeyi Bulmak","6255989135","20.0","Nutuk (Özel Deri Ciltli ve Kutulu)","6256090802","20.0","2026-06-30"
"Mercusys MA30N, AC1300 Mbps, Çift Bant, MU-MIMO, Tak ve Çalıştır, Nano Wi-Fi 5 USB Adaptör","B0D92F5HX4","TP-Link","900 Computing Accessories","1090 Computing Components & Networking: Other","6","VegGieg 300Mbps Wifi 6 Çift Bant Kablosuz Alıcı Verici Nano USB Adaptör","B0DJH85RFT","33.33","VARTA Longlife AA Alkalin kalem pil 10'lu paket","B00EPDLZDO","16.67","LEGO DUPLO Town Vahşi Hayvan Aileleri: Penguenler ve Aslanlar 10442-2 Yaş ve Üzeri Çocuklar için Eğitici ve Yaratıcı Oyuncak Yapım Seti (10 Parça)","B01NAEPLMB","16.67","2026-06-30"
"TP-Link UH5020C | USB-C 5-in-1 Hub | 4K@60Hz HDMI | 100W Hızlı Şarj | 2× USB-A Port | 1× USB-C Port | Tak & Çalıştır | Windows | Mac | Linux & Mobile Uyumlu","B0DSVS49TZ","TP-Link","600 Computing Consumables","645 Recordable media DVD+RW","16","Bluey: Little Library","0241486904","6.25","Bay Gıdık","6050929874","6.25","Beyaz Geceler: Hasan Ali Yücel Klasikler Dizisi","6053321397","6.25","2026-06-30"
"TP-Link Archer BE220, BE3600 Mbps, Fiber Destekli, 4× Gbps Port, VPN Destekli, HomeSheild, Easy Mesh Uyumlu, Dual-Band Wi-Fi 7 Router","B0F1BXSRJC","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","1","Viko Karre Beyaz İkili Topraklı Priz","B07BK8H2MK","100.0",,,"0.0",,,"0.0","2026-06-30"
"Mercusys Halo H25BE(2-pack) | Wi-Fi 7 Mesh Sistemi | BE3600 Mbps Hız | Fiber Uyumlu | Dual-Band | 3x1G Port | 460 m² Kapsama | MLO | 320 MHz, 4K-QAM | 8K Yayın | Kolay Kurulum ve Kullanım","B0FC2NPY55","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","5","ARTEMA Minimax S A41994 Banyo Bataryası Krom","B07HH7P8D3","20.0","Nascita Pro Üç Boyutlu Saç Fırçası","B081B9FMTC","20.0","Ugreen CAT6 Flat Ethernet Kablosu, 10 Metre","B082TFD8KP","20.0","2026-06-30"
"Tp-Link RE700X AX3000 Mbps Onemesh Wi-Fi 6 Menzil Genişletici","B09PRG6MJX","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","25","Viko Yonca Plus Gri Üçlü Topraklı Priz Çarpma Karşıtı","B0CKT8BNY3","12.0","Peppa Pig: Yum! Yum! Yum! Sticker Activity Book","024137166X","4.0","Crocs Classic Unisex Yetişkin Terlik White 37/38 EU","B00152AGCY","4.0","2026-06-30"
"TP-Link Archer TX55E, AX3000 Wi-Fi 6 Bluetooth 5.2 PCIe Ağ Kartı, İki Anten, Özel Soğutucu, 1024-QAM, Ultra Düşük Gecikme, Intel Wi-Fi 6 Yonga Seti, Windows 10/11'i Destekler","B0B1M6Z25X","TP-Link","900 Computing Accessories","1090 Computing Components & Networking: Other","8","Dünyalar Savaşı: Modern Klasikler Serisi","605295888X","25.0","Vaiz 6 - Güneşte Savaş","6057762819","12.5","Listerine Mouthwash Total Care Nane Aromalı 1000ml","B01N498Y2V","12.5","2026-06-30"
"TP-Link Archer BE230, BE3600 Mbps, Fiber Destekli, 2× 2.5 Gbps WAN/LAN Port + 3× Gbps Port, VPN Destekli, HomeSheild, Easy Mesh Uyumlu, Dual-Band Wi-Fi 7 Router","B0D6W2Z4XZ","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","35","Adem’den Önceki Yaşam","6256417607","2.86","TP-Link TL-SG1016DE, 16-Port Gigabit Easy Smart Switch","B00DBRPKS6","2.86","Logitech K270 Kablosuz Klavye, Tuş Takımı, Sıvı Dökülmesine Dayanıklı, 10 m Kullanım Mesafesi, Türkçe Q Klavye, Siyah","B00DJ3GUYK","2.86","2026-06-30"
"TP-Link TL-SG1016D, 16-Port Gigabit Masaüstü/Rackmount Switch","980035980X","TP-Link","200 Computing Mobile Hardware","210 Consumer notebooks Intel","2","TP-Link TL-SG1005D, 5-Portlu Gigabit Masaüstü Switch","B00YMTNVEM","50.0","TP-Link UE200, USB 2.0 Ethernet Ağ Adaptörü","B01GNP5UUA","50.0","Logitech MK235 Kablosuz Set 920-007925","B01GYBQUF2","50.0","2026-06-30"
"Tp-link CPE510, 5GHz 13dBi Outdoor CPE","B00N1Q7W8I","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","3","Pablo ile Laklak: Karşınızda dünyanın ilk zaman yolcusu penguenleri (ve en komik)","6051984224","33.33","Çocuk Köstebek Tilki ve At (Ciltli)","6057462971","33.33","Kırk Yama","9751048346","33.33","2026-06-30"
"Tp-link CPE210, 300Mbps 9dBi Dış Mekan CPE","B00OO47F0G","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","7","TP-Link CPE220, 2.4GHz 300Mbps 12dBi Antenli Dış Mekan CPE/Access Point","B06ZZV414V","28.57","KIOXIA EXCERIA 64GB microSDXC Kart – UHS-I, R100MB/s okuma","B088X252DK","28.57","TP-Link ER605; Omada Gigabit VPN Router","B08MH4VLR3","28.57","2026-06-30"
"TP-Link TL-SG116, 16-Port Gigabit Desktop Switch","B07FY23LW7","TP-Link","1000 Computing Components & Networking","1085 Switches","5","TP-Link LS1005G Ethernet Çevirici 5 Port 10/100/1000 Mbps","B07VC68RW1","20.0","TP-Link TL-SG105-M2, 5-Port 2.5G Desktop Switch","B08VH4Q3NR","20.0","Zyxel 8 Port Gigabit PoE Switch | Smart Managed | Masa/Duvar Montajı ve Fansız Tasarım | 70 W Bütçe ile 8 PoE+ Bağlantı Noktası | VLAN, IGMP, QoS [GS1900-8HP]","B09QGQDWGW","20.0","2026-06-30"
"TP-Link Deco M4 1-pack, AC1200 Mbps, Dual-Band, Gigabit Portları, 100 Cihaza Kadar Bağlanılabilirlik, Mobil Uygulama ile Kolay Kurulum, Wi-Fi 5 Mesh Sistemi","B07L44RHC2","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","8","Merhaba Komşu 2: Gündüz Kabusu","6256029763","12.5","Merhaba Komşu 3: Gömülü Sırlar","6256029771","12.5","Soichi - Junji İto (Özel Bez Ciltli Baskı)","6259031114","12.5","2026-06-30"
"TP-Link LS105G, 5-Port 10/100/1000 Mbps Gigabit Ethernet Switch, 5 Bağlantılı Harici Güç Adaptörü","B07RPVQY62","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","13","VegGieg CAT6 1000Mbps Gigabit UTP Ethernet Kablosu 1 Metre","B0DMT7YNGH","15.38","Doğanın İşaretlerini Okumanın Kaybolmuş Sanatı","605311507X","7.69","Her Şey Nasıl Çökebilir ?: Şimdiki Nesiller İçin Çöküşbilim Elkitabı","6254298848","7.69","2026-06-30"
"TP-Link TX401, 10 Gigabit PCI Express Network Adapter","B08GFGG888","TP-Link","900 Computing Accessories","1090 Computing Components & Networking: Other","1","TP-Link UE306, USB 3.0 - Gigabit Ethernet Ağ Adaptörü","B09FDRMZ73","100.0",,,"0.0",,,"0.0","2026-06-30"
"TP-Link TL-WN722N, N150 Mbps Yüksek Kazanımlı Kablosuz USB Adaptör, 4dBi Ayrılabilir Anten","9800359850","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","6","Hot Wheels pistleriyle efsanenizi yaratın, BHT77","B00IVLIC1O","16.67","TP-Link UE300, USB 3.0 RJ45 Gigabit Ethernet Network Çevirici","B00V4BGDKU","16.67","TP-Link LS1008, 8-Port 10/100 Mbps Fast Ethernet Switch, 8 Bağlantılı Ethernet Çevirici, Beyaz","B07ZKXKHSD","16.67","2026-06-30"
